year,population,co2_terr_t,co2_cons_t,gdp_ppp_2011usd,gdp_real_2010usd,primary_energy_gj,life_expectancy,affluence,energy_intensity,carbon_footprint,kaya_check
1990,13141202.0,33314695.0,32658161.76527482,121479367952.46292,80233612423.19823,586544000.0,72.6787804878049,9244.159548910588,0.004828342539858499,0.056798287937477834,33314694.999999993
1991,13354054.0,31323514.0,31446414.91732759,131161259452.44444,86628222003.62473,599761000.0,73.12134146341464,9821.830842712216,0.004572699305448933,0.0522266602863474,31323513.999999996
1992,13566942.0,32474951.999999996,33869825.69543172,147265147903.2931,97264375008.44955,648572000.0,73.55843902439025,10854.704612380085,0.004404110607527505,0.05007146777844248,32474951.999999996
1993,13778676.0,34627480.99999999,36257271.33599009,157553513318.76477,104059543086.17789,664698000.0,73.98856097560977,11434.590182595539,0.004218871328214513,0.05209505820688492,34627480.99999999
1994,13987999.0,38103797.0,38680559.56703574,166546855502.05917,109999385738.35571,714659000.0,74.41270731707317,11906.410309441628,0.004291038686054112,0.053317452099532786,38103797.0
1995,14193986.0,41745128.0,41833074.19834462,184246751179.70496,121689655400.33647,767933000.0,74.83039024390244,12980.62088969969,0.004167959516697242,0.0543603777933752,41745128.00000001
1996,14396020.0,48499742.0,49043333.29155497,197905868459.79944,130711107687.79784,850591000.0,75.24160975609756,13747.262678142948,0.004297957441180074,0.05701887511154009,48499741.99999999
1997,14594070.0,56394792.99999999,55368463.19581641,210978698198.87717,139345333995.0179,952456000.0,75.64636585365855,14456.467469244506,0.004514465242847294,0.05920986691248729,56394792.99999999
1998,14788609.0,57641573.0,56876940.94530693,217795164038.70883,143847412722.5187,986234000.0,76.04465853658537,14727.224449487361,0.004528263996829224,0.058446142599018085,57641573.0
1999,14980484.0,61502924.00000001,59866671.67195801,216138059053.62308,142752942761.41434,1047868000.0,76.4359756097561,14427.975695152645,0.004848141991226208,0.0586933888619559,61502924.00000001
2000,15170387.0,58815013.0,59680276.16638032,225855178776.38766,149170819565.08023,1053724000.0,76.82082926829268,14887.898296621415,0.0046654852268995795,0.05581633615633695,58815013.00000001
2001,15358418.0,53340182.0,54312196.75812359,233417217583.42334,154165327694.31506,1034030000.0,77.19870731707317,15197.998751135914,0.004429964553195128,0.05158475286016847,53340182.0
2002,15544554.0,55162681.0,58268501.915601365,238475155424.22278,157505949490.587,1070462000.0,77.56958536585367,15341.39579843994,0.0044887778691065664,0.05153165735915894,55162681.0
2003,15729268.0,55602720.99999999,55280967.98963908,247911017514.9332,163738063755.13492,1081590000.0,77.9329756097561,15761.128713359909,0.004362815379654715,0.051408316460026436,55602720.99999999
2004,15913119.0,59775767.0,57871762.55513929,262887537119.01303,173629622211.649,1151850000.0,78.28939024390246,16520.176661722508,0.004381531405494284,0.051895443851195905,59775766.99999999
2005,16096571.0,61818286.0,62594420.16308158,277502644954.6283,183282478637.97543,1187540000.0,78.63829268292685,17239.86089674803,0.004279382635052588,0.0520557505431396,61818286.0
2006,16279728.0,64814224.99999999,66779171.921677165,289726560679.78204,191356021768.11102,1236090000.0,78.97917073170733,17796.76912782462,0.004266402076149927,0.05243487529225218,64814225.0
2007,16462701.0,71638512.0,70892843.33928023,304678843192.9678,201231572326.4129,1282093000.0,79.31353658536587,18507.220849905963,0.004208014532823957,0.05587622114776385,71638512.0
2008,16645939.999999998,71851198.0,77774012.87419853,314710256686.812,207857031084.45395,1269813000.0,79.64090243902439,18906.12706082156,0.004034863729476954,0.056584078128039325,71851197.99999999
2009,16829957.0,66805405.99999999,65423685.502397545,311448499574.9062,205702734759.52023,1236052000.0,79.96080487804878,18505.602811397926,0.003968720355651347,0.05404740739062757,66805406.0
2010,17015048.0,72250901.0,74617410.45123515,329368339640.8385,217538271334.738,1291528000.0,80.27580487804879,19357.47343415302,0.003921226920014091,0.05594218708382629,72250901.00000001
2011,17201305.0,79243869.99999999,83234026.7078298,348602266871.4886,230241724512.10272,1407166000.0,80.58697560975611,20266.036028748316,0.004036594519675767,0.056314514421184125,79243869.99999999
2012,17388437.0,80974694.0,89971599.27575585,367625947882.49066,242806316136.39056,1557789000.0,80.89485365853659,21141.977733967156,0.004237429400652474,0.051980527529723215,80974694.0
2013,17575833.0,83171227.0,91890405.21684971,382244947353.9232,252461742875.72662,1619768000.0,81.1979268292683,21748.326088096263,0.004237513173719588,0.051347617066147745,83171227.0
